pubchem	clname	auc
2265	TE6	0.818778363
444036	RCC10RGB	0.700607709
57469	SNGM	1.0
6918638	MSTO211H	0.517528759
25124816	NCIH2228	0.847386416
65981	MDAMB175VII	1.297094765
2747117	ECGI10	0.890627317
9804992	HT1080	0.698015099
24995524	NCIH2228	0.595198807
3994	CORL23	0.633342268
60149	HCT15	0.923578528
5991	SNU61	0.918019966
448799	SNU449	0.516441976
208908	SW620	1.0
24995524	SNU61	0.725970188
5327723	SJSA1	0.832613226
2796	OSRC2	1.407452529
115210	LOVO	0.993174291
154417	OV7	0.869121965
5328768	RCC10RGB	0.877195855
44483163	JHH4	0.8429084
25154867	NCIH2228	1.428231839
2471	MSTO211H	1.31434977
25260757	NCIH2087	0.678587457
13109	MCF7	0.93216769
65399	MSTO211H	0.764033746
387447	MDAMB175VII	0.891470676
5311412	SJSA1	1.175821935
24775005	SNGM	0.903922355
667594	RVH421	0.965799527
9549213	SW1990	0.716940697
3385203	COLO668	1.068065093
64981	CORL105	0.901341343
3334	SW620	0.372966028
6093	SNU449	1.157086201
44607360	SW620	0.798114924
9927531	OV7	1.113776736
2082	SF295	0.920650892
2930014	TE6	0.698781466
2794	PC3	0.996735752
3397	MSTO211H	1.442081793
6604858	YAPC	0.882835441
107985	AGS	0.055934187
156414	NCIH838	0.880445163
132519	SKUT1	0.940000998
9813758	NCIH1651	0.883136133
4477	MCF7	0.906953882
60164	SNU61	0.971791181
5329006	NCIH2228	0.932233415
9868037	A375	0.904498569
37463	A549	1.284380495
5311340	ECGI10	0.851816207
10126189	JHH4	0.509630361
4622	NCIH1651	0.851354052
3921152	RVH421	0.561086641
47936	YAPC	1.026251082
91668	SNUC5	1.375990855
5702058	SH4	0.900518615
1697	SNU61	0.868316336
16666708	HPAC	0.397699497
2753	SNU61	0.959538214
107950	SNGM	1.340105493
72385	SH4	0.916953673
3035714	MSTO211H	0.553201228
2541	TE10	1.479873689
46907787	TE6	0.782312572
5494449	A549	0.876552986
5702094	SNUC5	1.417489624
25260757	RMGI	0.606985497
5327723	SNU449	1.216343124
65981	HOS	1.12512766
5833	CORL23	0.804547953
6256	SW1990	0.63633236
2082	SNU61	0.699405686
6399253	A549	1.391790256
4996	RKN	0.895014208
2812	RMGI	1.423008533
5354004	LN229	1.226085936
3690	NCIH2228	1.204138059
12555	NCIH596	1.192201561
9549305	SF295	1.285150197
2930014	HUH7	0.822221566
25022668	SNU449	0.890609412
5354004	COLO668	1.233000659
6603728	RKO	1.595569028
11317348	TE6	0.791944218
60823	HCT15	0.798276651
4849	HOS	0.810086409
4847	NCIH1915	0.764847007
9967941	TE8	0.876571457
133621	NCIH2347	1.102950904
12555	SW948	1.140236157
8362	CORL105	1.23452398
6708465	COLO668	0.855309945
10461815	NCIH838	0.855486552
24785538	HUH7	1.0
5531	CORL105	0.954203896
2145	HUH7	1.0
9840324	RCC10RGB	1.148709467
9847023	NCIH596	1.474923052
11485656	RKO	1.705555739
19675	PANC0203	0.974119373
159324	SNU449	0.609269863
5353431	HUH7	0.999732788
5330286	SKUT1	0.978110664
10427712	AGS	1.283880244
6604858	COLO668	1.487412076
41781	NCIH1915	1.382203035
9810884	HCC15	1.119039254
5287969	CL34	0.593643219
10341154	HUH7	1.369148487
5288674	HCT116	0.807548096
91668	PANC0203	1.309373429
4539	LOVO	1.0
9949641	RKO	0.444341533
4261	EFO27	0.831013357
2082	SNUC5	0.908476792
10341154	RKO	1.365701699
4261	CORL23	0.795068056
3292447	HT1080	0.888181992
11442891	A375	0.513061456
5394	NCIH2228	1.234654116
4493	NCIH1651	1.094207964
6445562	SW948	0.764850036
2913	SNUC5	0.923125561
9943465	HCC15	1.080295401
108143	A673	1.567280414
387447	SJSA1	0.60784521
25260757	MDAMB175VII	0.707007205
2812	SW948	1.078258723
21700	LN229	0.920748567
2747117	TE6	0.904667275
6914657	SW620	0.737035202
133621	MCF7	1.006297469
5288209	RVH421	1.144605396
3025986	NCIH1915	0.537222059
46943432	LN229	0.973638769
16490	A549	1.462281688
3598	A673	1.3064155
31307	JHH4	0.780170834
24360	RKN	0.163217336
6436	EBC1	1.58885756
6918454	HCC15	0.921315612
5288209	JHH4	1.231473301
6436135	JHH4	1.390818711
42642645	NCIH2347	0.635337846
6442177	OVTOKO	0.784501076
196841	HCT15	1.191840989
6166	SNU61	1.000204702
2082	RCC10RGB	0.739300445
5288674	PANC0203	0.885178128
4761	HCC15	0.826918824
9967941	NCIH2347	1.378574776
11640390	A375	0.771998295
9884685	EFO27	0.887514
6604858	PANC0203	0.883911044
24995524	NCIH838	0.820001744
3033637	RKN	1.408419598
46244454	SF295	0.870648993
60149	NCIH28	0.881119362
123692	JHH4	1.442966058
46926350	HCC15	0.679489958
40839	RCC10RGB	0.655764516
10367662	EFO27	0.945460174
123692	LOVO	1.968996673
5282168	CL34	0.870788794
374536	NCIH28	0.315055444
5186	U2OS	0.796752693
5083	OV7	0.836974072
6604931	TE6	0.768749843
5329099	NCIH2347	1.603850645
4883	CORL105	0.829032028
1548943	CORL105	0.930367789
4122	HCT15	0.601990668
9840076	RKO	1.047070839
108143	RMGI	1.0
379077	RCC10RGB	0.843409371
71329	YAPC	0.966017377
16490	NCIH838	0.860708579
91668	ECGI10	1.189381252
71815	SKUT1	0.900888163
71815	CAKI1	0.893674608
10745	SNU61	1.211672832
9888590	NCIH2347	0.741818799
6604858	ECGI10	0.829029004
44137675	SF126	0.684517451
44137675	CORL105	0.812069816
11317348	HCT15	0.868552423
4431	SW1990	0.916924615
16747683	TE8	0.844005514
409805	EFO27	0.774710432
3958	SKUT1	0.915014342
16007391	A549	0.722803687
2471	RMGI	1.265765615
20279	AGS	0.640254369
44219749	SW620	0.905924301
817368	NCIH596	1.027073483
5311479	SF295	1.321534888
11455910	LOVO	0.686033193
9933475	SW948	0.822517028
6914657	RCC10RGB	1.0
10607	OVTOKO	0.479119818
26533	SKUT1	1.175980261
11626560	COLO668	0.930271215
24901704	CL34	1.025147771
44369694	SW1990	0.800145663
393595	SW620	1.078097263
9549305	RKO	1.395182694
40634	MSTO211H	1.30813175
824226	YAPC	1.389061011
128563	OSRC2	1.026267258
3820	RKN	1.771974722
5707	RVH421	1.56880439
1893	A375	1.406490963
444036	NCIH2347	0.709762059
7638	NCIH838	0.962039935
253602	HCT116	0.650953023
2126	AGS	0.950584181
44139710	YAPC	0.891179201
17756796	PC3	1.177960373
9874913	EFO27	0.800321602
448042	NCIH1651	1.073304441
21700	YAPC	0.657696095
16007391	NCIH2347	0.852766593
44607360	TE10	0.795365489
5531	CL34	0.977291592
2315	RMGI	1.500133008
6167	MDAMB231	0.370691736
9444	SNU61	0.987068301
20279	RKO	0.679652789
5702051	NCIH838	1.188273562
46740	CORL105	1.419725811
23725625	PANC0203	0.948497615
667594	SNUC5	1.100321767
24856436	SNGM	0.90599991
65399	PANC0203	0.682223583
6093	HUH7	1.580671674
5614	SH4	0.895930479
53232	SNU449	1.085426165
11977753	LOVO	0.626883723
20279	RMGI	0.264013465
11656518	CORL105	0.756753675
3371	SKUT1	1.221848566
197033	SW1990	0.968151058
216326	TE6	0.893017982
5905	RKN	1.694061343
31307	SF295	1.776730948
4631	SW620	0.897850826
4594	RVH421	0.939283859
5702003	HT1080	0.707624123
5702048	SJSA1	0.613232566
448042	A673	0.903095814
441328	HOS	1.374120162
16736529	SNUC5	1.0
9927531	SNU61	0.938064768
5405	PC3	0.938114387
50287	RVH421	0.998322756
5284616	OVTOKO	0.416294183
3387354	NCIH838	0.858596787
9914412	MDAMB175VII	0.92997797
49855250	MSTO211H	0.568205265
6127	RKN	1.279201088
442872	COLO668	1.48140707
9840076	RKN	0.975031716
5362422	MCF7	0.948666581
25260757	LOVO	0.681099784
4521392	OSRC2	0.831207782
119565	SW620	1.20448075
236702	HCT15	1.420747167
16736529	SKUT1	0.669017189
8362	U2OS	1.492585755
2733526	LN229	1.168807694
5288209	HCT15	0.993253707
638024	TE10	1.117917803
5288674	A549	0.870962537
4847	CORL105	0.788055434
72385	YAPC	0.883472919
26937	NCIH1651	1.363881518
11213558	SJSA1	0.915491391
4055	SNU61	0.825464905
441383	MDAMB175VII	1.598187772
5707	PC3	1.370058974
11656518	NCIH1915	0.910638385
9549213	RKN	0.728396151
824226	CORL105	1.314380848
5702106	RVH421	1.172596297
448799	CAKI1	0.591333772
49836027	HCT15	0.559571219
6442177	HCC15	1.0
1893	RKN	1.518818294
446541	MSTO211H	0.700232681
73707512	NCIH28	1.056626779
6473881	RKO	0.827649858
4858	HCT15	0.946464821
2478	HCT116	0.85073854
11351021	HT1080	0.530892754
216326	SNGM	1.14108041
4062	ECGI10	1.270689499
5702172	HCT116	0.877123402
6708465	SNGM	0.883145524
5702048	NCIH28	0.594346055
6604918	SJSA1	1.215428703
4631	RKN	1.342600817
2145	LN229	0.978931341
285033	SF126	1.0
