pubchem	clname	auc
224859	NCIH838	1.297248451
6914657	OVTOKO	0.813447942
35802	SKUT1	0.731531075
4060	MDAMB231	1.382210313
11713159	SF126	0.81910272
42642645	LN229	1.0
447966	MDAMB231	1.063486035
11364421	SF295	1.149816268
65399	NCIH1915	0.690892256
2763	HUH7	0.957847018
6445533	CORL105	0.540148179
44369694	AGS	0.757424287
3397	SNU61	1.333906012
447043	NCIH28	0.983530359
2126	SW948	0.912211215
379077	CORL105	0.897081249
3035714	SF295	0.546536264
42611257	LOVO	1.0
9956119	HT1080	1.146269525
25183872	CORL105	0.624475435
53340666	CL34	1.189331036
24771867	MCF7	0.912924565
9874913	OV7	0.916496585
40634	RVH421	1.22844404
3033769	LOVO	1.185920438
11485656	AGS	0.920591824
5284616	OVTOKO	0.416294183
3948	NCIH2228	0.79815774
197690	SW1990	0.954244342
11382492	LOVO	0.844157303
5702003	NCIH1651	0.580464893
54477	HCT15	1.765494682
3854666	NCIH2347	0.846212635
2244	HCT15	0.915016447
5282230	RVH421	0.836988236
16490	AGS	0.850295719
448042	TE6	0.806964259
65909	HT1080	0.894531319
3971	SF126	0.902240956
2993	COLO668	0.822283455
49855250	RMGI	0.584926438
9927531	RKO	0.887878317
5330790	LOVO	0.788642452
6604471	JHH4	0.745217305
5991	PC3	1.186581862
9927531	HPAC	0.859804792
285033	HT1080	0.666581668
5354033	SNUC5	0.930215432
3739	HPAC	1.198359533
197690	EFO27	1.200636627
5757	A375	1.295415839
40839	RKO	0.186777092
5311412	MCF7	1.162225919
60464	SJSA1	0.937808283
31307	NCIH2228	1.451732607
5328771	SJSA1	1.155164925
5310993	MDAMB231	0.73688433
6436135	LOVO	1.274928174
2930014	SNU61	0.751577791
98889	U2OS	1.268898451
24785538	ECGI10	1.0
11667893	NCIH1651	0.917565235
446541	TE10	0.88597758
667594	HUH7	1.563008512
5702048	RKO	0.551675132
3655	A375	0.854174054
47936	U2OS	1.254011327
11175137	NCIH2228	1.146881621
16736529	A549	0.815894035
300471	SW948	1.0
6918454	PC3	0.977544859
9934347	CL34	0.619446736
6604822	LN229	0.970329275
2763	NCIH1915	0.834447165
2125	CORL105	0.894723371
6708465	OV7	0.842921603
25021165	SJSA1	1.137337531
10461815	A549	0.861590798
224246	U2OS	1.048011701
1697	YAPC	0.84472213
11214940	U2OS	1.243080247
40634	A549	1.083017322
6166	MSTO211H	0.908735324
6741	EFO27	1.245507918
4107	RKN	1.128976405
135411	PANC0203	0.67128601
5328771	SKUT1	1.264402001
11442891	AGS	0.356694167
16759175	SKUT1	1.039492888
6918736	HOS	0.64934044
159324	YAPC	0.729926034
445643	HOS	0.906590541
2690	MCF7	0.74566641
47936	SW948	0.914784729
154417	SNGM	0.783457182
10040286	EBC1	0.861959326
40839	SNU449	0.622606902
1893	PANC0203	1.451494257
3385	AGS	0.853324608
3324	NCIH2347	1.477747474
